,event_id,station,components,time,duration,amplitude,energy,signal_type
162,20180101T105819Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:58:19.263392Z,11.96,586.983660885,776241.956059,amplitude
163,20180101T110018Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:00:18.443392Z,8.02,663.035608375,630822.82662,amplitude
164,20180101T110201Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:02:01.863392Z,103.4,986.506388783,9610956.54604,amplitude
165,20180101T110944Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:09:44.483392Z,14.72,598.524659465,587195.732835,amplitude
166,20180101T111203Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:12:03.943392Z,14.66,447.03296847,388002.652271,amplitude
167,20180101T111611Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:16:11.723392Z,76.68,786.851041431,5988605.96911,amplitude
168,20180101T112420Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:24:20.023392Z,16.58,563.276916029,1084858.28405,amplitude
169,20180101T112638Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:26:38.463392Z,59.92,750.30945661,3958585.75673,amplitude
170,20180101T112855Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:28:55.003392Z,45.34,766.719548432,3381176.00993,amplitude
171,20180101T113440Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:34:40.443392Z,8.18,738.102400586,633175.879883,amplitude
172,20180101T113619Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T11:36:19.343392Z,3.22,487.52445432,177415.352645,amplitude
