,event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
194,20180101T131555Z,['DK.ILULI.'],0.0,2018-01-01T13:15:55.403392Z,15.32,1355.82051972,13678325.6989,amplitude
195,20180101T132757Z,['DK.ILULI.'],0.0,2018-01-01T13:27:57.783392Z,9.38,1301.08560928,5856601.61094,amplitude
196,20180101T133047Z,['DK.ILULI.'],0.0,2018-01-01T13:30:47.503392Z,69.44,1389.33697254,44040189.7711,amplitude
197,20180101T133358Z,['DK.ILULI.'],0.0,2018-01-01T13:33:58.183392Z,28.74,1750.03087356,42312635.2405,amplitude
198,20180101T133837Z,['DK.ILULI.'],0.0,2018-01-01T13:38:37.643392Z,10.36,1319.36190786,8703844.30027,amplitude
199,20180101T135051Z,['DK.ILULI.'],0.0,2018-01-01T13:50:51.683392Z,10.24,1501.92449564,7850345.84437,amplitude
200,20180101T135442Z,['DK.ILULI.'],0.0,2018-01-01T13:54:42.243392Z,8.92,1284.94025294,5411598.80456,amplitude
201,20180101T140158Z,['DK.ILULI.'],0.0,2018-01-01T14:01:58.663392Z,11.54,1250.70064701,8764844.0864,amplitude
202,20180101T140501Z,['DK.ILULI.'],0.0,2018-01-01T14:05:01.543392Z,18.94,1587.93567656,16622383.8635,amplitude
203,20180101T140821Z,['DK.ILULI.'],0.0,2018-01-01T14:08:21.343392Z,6.92,1246.78004745,4603189.26225,amplitude
204,20180101T141132Z,['DK.ILULI.'],0.0,2018-01-01T14:11:32.563392Z,9.66,1351.68508493,6034216.91376,amplitude
